state,treatment,voted_2014,vote_history_stratum,high_salience_state
KY,0,0,below,0
LA,1,1,average,0
KS,1,1,average,1
IA,1,0,average,1
AZ,1,0,above,0
NH,0,1,average,1
AZ,0,0,above,0
AZ,1,0,above,0
NC,0,1,below,0
MI,0,0,below,1
WI,0,1,average,0
ME,1,0,below,1
IA,0,0,below,1
GA,1,0,average,1
KS,0,1,above,1
CO,1,1,above,1
AR,1,0,below,1
WI,0,0,below,0
WI,0,1,above,0
WI,1,0,average,0
LA,1,0,below,0
AR,0,0,below,1
CO,0,0,below,1
CO,0,0,average,1
SD,0,0,below,0
CO,1,1,average,1
ME,0,0,above,1
IA,1,0,below,1
NH,0,0,below,1
NC,0,1,average,0
WI,1,1,below,0
MI,0,1,above,1
CO,0,0,below,1
FL,0,0,below,0
GA,1,0,above,1
NC,0,1,average,0
MI,1,0,average,1
LA,0,1,average,0
FL,1,0,below,0
AZ,0,0,average,0
MI,0,1,above,1
AR,1,0,average,1
MI,0,0,below,1
IA,1,0,below,1
FL,1,0,below,0
AR,0,0,average,1
CO,0,0,above,1
AZ,1,0,below,0
NH,1,0,below,1
AR,1,1,below,1
IA,0,0,below,1
NC,0,0,below,0
WI,0,0,below,0
ME,0,0,above,1
GA,0,0,below,1
WI,0,1,below,0
CO,1,0,below,1
IA,1,1,above,1
FL,1,0,below,0
NC,0,1,average,0
KY,1,1,average,0
ME,1,0,above,1
CO,1,0,below,1
AR,0,0,below,1
CO,1,0,average,1
MI,0,0,below,1
NH,0,1,below,1
GA,1,0,below,1
GA,1,0,below,1
AR,0,0,average,1
CO,0,0,below,1
IA,0,1,average,1
AR,1,0,below,1
LA,1,1,average,0
LA,0,0,average,0
AR,0,0,average,1
WI,1,1,average,0
CO,1,1,average,1
AR,0,0,below,1
GA,1,0,below,1
KY,1,0,below,0
SD,0,0,average,0
FL,1,1,above,0
KS,1,0,below,1
AZ,1,0,below,0
KS,1,0,below,1
AZ,1,0,below,0
KY,0,1,average,0
MI,1,1,above,1
NC,1,0,average,0
AR,1,1,above,1
MI,1,0,above,1
AR,0,0,below,1
KY,1,0,below,0
IA,0,0,below,1
MI,0,0,average,1
MI,0,0,below,1
ME,0,0,average,1
FL,1,1,above,0
TX,0,1,above,0
AR,1,0,above,1
NC,1,1,average,0
KY,1,0,above,0
MI,0,1,average,1
IA,0,0,average,1
ME,1,1,below,1
KY,0,0,below,0
KY,1,0,below,0
ME,1,0,below,1
KS,1,0,below,1
KY,0,1,average,0
NH,0,0,below,1
AR,1,0,average,1
AZ,1,0,average,0
KY,0,1,above,0
AK,1,1,below,1
SD,1,0,below,0
IA,1,0,average,1
IA,1,0,below,1
KS,0,1,average,1
KS,1,1,above,1
AZ,0,0,average,0
WI,1,0,below,0
KY,0,0,average,0
CO,1,0,average,1
WI,0,1,below,0
IA,1,0,below,1
TX,1,0,average,0
CO,1,1,average,1
MI,0,1,above,1
WI,1,0,below,0
CO,1,1,below,1
GA,0,1,below,1
IA,1,1,above,1
GA,1,1,average,1
AZ,1,1,above,0
KY,0,0,below,0
AK,0,1,below,1
MI,0,0,below,1
SD,0,1,average,0
GA,1,0,average,1
CO,1,1,below,1
KY,1,0,average,0
MI,0,1,above,1
CO,1,0,below,1
CO,1,1,average,1
KS,0,1,below,1
WI,0,1,average,0
WI,0,1,average,0
CO,1,1,below,1
SD,0,0,below,0
KS,1,1,above,1
ME,1,0,average,1
AR,1,0,average,1
MI,1,0,average,1
GA,1,1,below,1
NC,0,0,average,0
ME,0,0,above,1
AZ,1,0,above,0
ME,1,0,below,1
AZ,0,0,average,0
WI,1,0,below,0
CO,0,1,average,1
GA,1,0,average,1
SD,1,0,below,0
GA,0,1,average,1
AZ,1,0,below,0
GA,0,1,above,1
NH,0,0,average,1
IA,1,0,below,1
MI,1,0,below,1
FL,0,0,average,0
GA,0,0,below,1
CO,0,0,below,1
AK,1,0,below,1
NC,0,0,below,0
KS,0,0,above,1
CO,1,0,below,1
KS,1,0,below,1
KY,1,1,above,0
IA,0,0,average,1
ME,0,0,average,1
LA,1,0,average,0
AZ,1,0,below,0
SD,0,0,below,0
SD,1,0,below,0
IA,1,0,below,1
KY,1,0,below,0
WI,1,0,above,0
ME,1,1,above,1
GA,0,1,average,1
GA,1,0,average,1
IA,0,0,below,1
AZ,1,0,average,0
KY,0,0,below,0
AR,0,0,below,1
IA,0,0,average,1
AZ,1,0,below,0
NC,1,0,below,0
GA,1,0,below,1
KY,1,0,average,0
SD,0,0,below,0
MI,1,0,below,1
MI,1,0,below,1
KY,0,0,below,0
AZ,1,0,below,0
SD,1,1,above,0
SD,0,0,below,0
KS,1,0,below,1
IA,0,1,below,1
CO,1,0,below,1
NC,0,0,below,0
IA,1,0,below,1
GA,0,0,above,1
AR,0,1,average,1
IA,1,0,below,1
IA,0,0,below,1
NH,0,1,below,1
FL,0,1,average,0
AZ,1,0,average,0
SD,1,0,below,0
KS,0,0,below,1
WI,1,0,below,0
CO,1,0,above,1
WI,0,1,above,0
MI,1,0,above,1
AZ,1,0,below,0
NC,1,0,below,0
CO,0,1,average,1
NC,1,1,above,0
SD,1,0,below,0
MI,1,0,below,1
CO,0,0,below,1
WI,1,1,average,0
IA,0,0,below,1
LA,1,0,below,0
MI,1,0,below,1
CO,1,0,below,1
NC,1,0,below,0
LA,1,0,below,0
ME,0,1,above,1
GA,0,1,above,1
MI,0,1,above,1
AZ,0,0,below,0
LA,1,0,average,0
WI,0,0,below,0
KY,0,0,below,0
MI,1,1,below,1
KS,0,1,above,1
NH,0,0,below,1
KS,1,1,above,1
NH,0,1,below,1
AR,1,0,below,1
TX,1,0,average,0
IA,0,1,average,1
IA,1,0,above,1
KY,1,1,average,0
GA,0,0,below,1
WI,1,1,above,0
KS,0,1,above,1
KY,0,0,below,0
AZ,0,0,above,0
FL,0,0,average,0
CO,1,0,below,1
AR,1,0,below,1
NC,0,0,below,0
CO,1,1,above,1
AZ,0,0,above,0
LA,0,0,average,0
CO,0,1,above,1
WI,1,0,below,0
WI,1,1,average,0
LA,0,0,below,0
CO,0,0,average,1
KS,1,0,above,1
WI,0,1,above,0
CO,0,0,below,1
NC,1,1,average,0
LA,0,1,above,0
ME,0,0,below,1
WI,0,1,below,0
AZ,0,0,average,0
KS,1,0,below,1
IA,0,0,below,1
LA,1,0,average,0
IA,0,0,average,1
GA,1,0,below,1
AR,1,1,below,1
IA,1,0,below,1
FL,0,0,below,0
AR,0,1,above,1
KY,0,0,below,0
AR,1,0,below,1
GA,0,1,above,1
NC,1,0,average,0
ME,0,1,above,1
ME,0,0,below,1
WI,1,1,below,0
NH,0,0,average,1
CO,1,0,below,1
CO,0,0,below,1
AZ,0,0,below,0
SD,0,0,above,0
FL,0,1,above,0
KS,0,0,below,1
MI,1,0,above,1
AZ,0,0,below,0
FL,1,0,average,0
MI,1,0,average,1
NC,1,0,below,0
KS,0,0,average,1
IA,1,1,above,1
IA,1,0,below,1
GA,0,0,below,1
AZ,0,0,above,0
IA,0,0,below,1
FL,1,0,below,0
MI,1,0,below,1
ME,1,1,average,1
CO,0,0,above,1
WI,1,1,average,0
NC,0,0,below,0
MI,0,0,below,1
KY,0,1,average,0
FL,0,0,above,0
MI,1,0,below,1
CO,1,1,above,1
LA,1,1,above,0
SD,1,0,below,0
NC,0,0,average,0
KY,0,0,average,0
AZ,0,0,below,0
NH,1,1,below,1
GA,0,0,below,1
MI,1,1,average,1
LA,0,1,above,0
IA,0,0,below,1
CO,1,0,below,1
SD,0,0,below,0
GA,1,1,above,1
LA,1,1,average,0
KS,0,1,above,1
AR,1,1,average,1
CO,0,0,below,1
KY,0,0,below,0
CO,0,0,below,1
KS,1,0,below,1
CO,0,0,below,1
AR,0,0,below,1
MI,0,0,average,1
IA,0,0,below,1
GA,0,0,below,1
WI,1,0,below,0
WI,0,1,above,0
MI,0,0,below,1
NH,0,1,average,1
KY,0,1,above,0
AR,0,1,average,1
AR,0,1,above,1
WI,1,1,below,0
KS,0,0,below,1
NC,1,0,below,0
KY,0,1,above,0
IA,1,1,average,1
AR,1,0,below,1
AK,1,0,average,1
AR,1,1,average,1
AZ,0,0,average,0
FL,0,0,below,0
KS,1,0,above,1
AR,1,0,below,1
AZ,1,0,below,0
CO,0,0,below,1
KY,1,0,below,0
FL,0,0,below,0
AR,0,1,above,1
LA,0,1,below,0
FL,0,0,above,0
IA,1,0,below,1
IA,1,0,below,1
FL,0,1,above,0
CO,1,0,below,1
CO,1,1,above,1
KS,1,0,below,1
IA,1,0,average,1
KY,0,0,below,0
AR,1,0,average,1
GA,0,1,above,1
AR,0,0,below,1
CO,0,1,above,1
AZ,1,0,below,0
ME,1,0,average,1
WI,0,1,average,0
GA,0,0,above,1
AZ,1,0,below,0
AZ,0,0,below,0
AR,0,1,above,1
GA,0,0,average,1
NC,0,0,below,0
NC,1,0,below,0
FL,1,0,below,0
MI,0,1,above,1
NC,0,0,below,0
WI,0,1,average,0
IA,0,1,above,1
MI,0,0,below,1
KY,0,0,below,0
KS,1,1,above,1
GA,0,0,average,1
SD,1,0,below,0
AR,1,1,below,1
IA,0,0,average,1
IA,1,0,below,1
GA,0,1,above,1
AZ,0,0,below,0
MI,0,0,average,1
NC,1,0,average,0
KY,0,0,average,0
KY,0,0,below,0
GA,0,0,below,1
ME,0,0,below,1
ME,1,0,below,1
SD,0,1,above,0
AR,1,0,below,1
WI,0,0,above,0
FL,1,0,above,0
MI,1,0,average,1
ME,0,0,below,1
ME,1,0,below,1
MI,1,0,below,1
ME,0,1,below,1
NC,0,0,average,0
NH,1,0,below,1
IA,0,0,below,1
IA,0,0,below,1
AR,1,0,average,1
MI,0,0,below,1
NC,0,0,above,0
CO,1,1,average,1
MI,0,0,above,1
LA,1,0,below,0
WI,1,1,above,0
ME,0,0,average,1
GA,0,1,above,1
AZ,1,0,below,0
ME,1,1,above,1
CO,1,0,average,1
MI,1,1,above,1
KY,1,0,below,0
ME,1,0,below,1
KY,0,0,below,0
AR,1,1,average,1
KY,0,0,below,0
AR,1,1,below,1
GA,0,0,below,1
GA,0,0,average,1
GA,1,1,above,1
AZ,0,0,average,0
ME,0,0,below,1
ME,0,0,below,1
KY,1,0,average,0
GA,0,0,average,1
SD,1,1,above,0
IA,0,0,average,1
GA,0,0,below,1
KS,0,0,below,1
WI,1,0,below,0
KS,0,1,above,1
IA,0,0,below,1
KS,1,1,average,1
GA,1,0,below,1
IA,1,0,above,1
WI,1,1,above,0
NC,0,0,below,0
MI,1,1,below,1
IA,1,0,below,1
CO,0,1,above,1
MI,0,0,average,1
CO,1,0,below,1
GA,1,0,below,1
NH,0,0,average,1
ME,0,0,below,1
IA,1,0,below,1
GA,0,0,average,1
KY,1,1,average,0
WI,0,1,average,0
AZ,0,0,below,0
KS,1,0,below,1
GA,0,0,below,1
KY,1,0,below,0
NC,1,1,above,0
AR,1,0,below,1
KS,0,0,average,1
WI,0,0,average,0
AR,0,0,average,1
KS,1,1,above,1
IA,1,0,below,1
AZ,1,0,above,0
SD,1,1,above,0
FL,0,0,below,0
NC,0,1,below,0
NC,0,0,below,0
CO,1,1,below,1
FL,0,0,below,0
AR,1,0,below,1
AZ,1,0,below,0
MI,1,0,above,1
KS,0,1,above,1
FL,0,0,average,0
AZ,1,0,below,0
AZ,1,0,above,0
MI,0,0,average,1
MI,1,0,average,1
GA,1,0,below,1
NC,1,0,average,0
IA,1,0,below,1
LA,0,1,below,0
NC,1,0,average,0
LA,0,0,below,0
IA,0,0,average,1
KS,1,1,above,1
GA,0,1,above,1
KY,0,0,below,0
KS,1,1,above,1
NC,0,1,above,0
SD,1,0,below,0
MI,0,0,below,1
KS,0,0,below,1
FL,1,1,below,0
LA,0,1,average,0
NH,1,0,below,1
GA,0,0,below,1
FL,0,1,average,0
AZ,0,0,below,0
KY,0,0,below,0
AZ,1,0,below,0
WI,0,1,average,0
KS,1,0,below,1
GA,0,0,above,1
CO,0,0,below,1
AZ,1,0,below,0
ME,0,1,below,1
AR,1,0,below,1
WI,1,1,average,0
IA,1,0,below,1
MI,1,0,below,1
MI,0,0,below,1
NH,0,1,below,1
MI,1,0,below,1
KS,0,1,above,1
MI,1,0,below,1
IA,0,0,below,1
GA,0,1,average,1
CO,0,0,below,1
NH,1,1,below,1
WI,1,1,below,0
ME,0,0,below,1
IA,1,1,below,1
WI,0,1,above,0
ME,1,1,above,1
NH,0,1,average,1
KY,1,0,below,0
MI,1,0,below,1
NC,1,0,average,0
KS,1,0,below,1
CO,1,0,below,1
KS,1,1,above,1
NC,0,1,below,0
KY,1,1,below,0
GA,0,0,below,1
WI,1,1,below,0
CO,1,0,average,1
GA,1,0,above,1
NC,0,0,above,0
KY,1,0,below,0
FL,0,0,below,0
MI,1,0,below,1
NH,0,0,below,1
AR,1,1,below,1
GA,1,0,below,1
LA,0,0,below,0
NH,0,0,below,1
MI,1,0,below,1
AZ,1,0,above,0
SD,0,0,average,0
KY,1,1,average,0
NC,1,0,above,0
AR,1,0,above,1
FL,0,1,above,0
GA,1,0,below,1
CO,1,0,below,1
KY,0,1,average,0
FL,1,1,below,0
NC,1,1,average,0
FL,0,0,below,0
IA,1,0,average,1
MI,0,0,above,1
KY,0,1,below,0
NC,1,0,above,0
KS,0,0,below,1
LA,1,1,below,0
KS,1,1,above,1
KY,1,1,above,0
MI,1,0,above,1
AR,0,0,above,1
AK,0,0,below,1
KS,0,0,average,1
AK,0,0,above,1
KY,1,0,below,0
KS,1,1,above,1
KS,0,1,average,1
AZ,1,0,average,0
WI,0,0,above,0
TX,0,1,above,0
GA,1,0,below,1
AZ,0,0,below,0
IA,0,0,below,1
AZ,0,0,below,0
IA,0,0,average,1
IA,0,1,above,1
AZ,0,0,below,0
NC,1,0,below,0
ME,1,1,above,1
AK,1,0,below,1
WI,0,0,average,0
IA,0,0,below,1
FL,1,1,above,0
AZ,0,0,below,0
KY,1,0,below,0
FL,1,0,below,0
AR,1,0,below,1
WI,0,1,above,0
AR,1,0,average,1
LA,0,1,above,0
AR,1,0,above,1
IA,1,1,below,1
MI,0,0,below,1
NC,0,1,average,0
MI,0,0,average,1
FL,1,0,average,0
AR,1,1,average,1
AZ,0,0,below,0
KY,0,0,below,0
WI,0,1,above,0
LA,1,0,below,0
AZ,1,0,below,0
KY,0,1,above,0
AZ,1,0,above,0
AZ,1,0,average,0
AR,0,0,below,1
MI,1,0,below,1
AZ,0,0,below,0
KS,1,1,average,1
MI,0,1,average,1
KY,1,1,above,0
MI,0,0,below,1
KY,0,1,above,0
LA,1,0,below,0
ME,0,0,below,1
NC,1,0,above,0
MI,0,0,below,1
GA,0,0,below,1
GA,0,1,above,1
ME,0,0,above,1
FL,0,1,above,0
NC,0,1,average,0
AR,0,1,above,1
CO,1,0,below,1
GA,0,0,below,1
SD,0,0,below,0
CO,0,1,average,1
MI,1,0,below,1
AZ,1,0,average,0
MI,0,0,below,1
ME,1,0,average,1
AR,1,0,below,1
AZ,0,0,below,0
NH,1,0,average,1
IA,1,0,average,1
KS,0,0,below,1
NC,1,1,average,0
MI,0,0,below,1
CO,1,1,below,1
GA,0,1,average,1
GA,1,0,below,1
MI,1,0,above,1
GA,1,0,below,1
FL,1,1,above,0
WI,0,1,below,0
MI,1,1,above,1
KY,0,1,average,0
NH,1,1,below,1
CO,1,1,above,1
IA,1,0,below,1
FL,1,0,below,0
IA,0,0,below,1
ME,1,0,average,1
GA,1,1,average,1
KS,1,0,below,1
KY,1,1,below,0
KS,0,0,below,1
AR,1,0,below,1
IA,1,1,above,1
WI,1,0,below,0
AZ,1,0,below,0
KS,1,0,below,1
ME,1,0,below,1
KY,1,0,above,0
WI,1,1,above,0
KS,1,1,below,1
WI,1,1,average,0
KS,0,0,average,1
NC,0,0,above,0
FL,0,1,average,0
ME,0,0,below,1
KY,1,1,above,0
KY,0,0,below,0
ME,0,0,below,1
GA,0,0,below,1
KY,1,0,above,0
AZ,1,0,below,0
NC,1,0,above,0
KY,0,0,below,0
NC,0,0,below,0
GA,0,1,average,1
NC,0,0,below,0
MI,1,0,below,1
SD,0,1,average,0
AR,1,0,average,1
AZ,1,0,below,0
ME,1,0,below,1
WI,0,0,below,0
KS,1,1,above,1
NH,0,1,above,1
AZ,0,0,below,0
NC,1,0,below,0
AR,1,1,average,1
SD,1,0,average,0
LA,1,0,below,0
KY,1,0,above,0
WI,0,1,below,0
CO,0,1,below,1
IA,1,0,below,1
ME,0,0,below,1
NC,1,0,below,0
IA,1,0,below,1
NC,0,0,below,0
AK,0,1,below,1
KY,1,1,above,0
KS,1,0,average,1
NC,0,0,below,0
AR,1,0,average,1
MI,0,0,below,1
IA,0,0,average,1
WI,1,1,below,0
IA,0,0,below,1
FL,0,1,above,0
AR,0,0,below,1
FL,1,0,average,0
KY,1,0,average,0
KY,0,0,below,0
WI,1,1,below,0
GA,0,1,above,1
CO,1,0,below,1
IA,1,0,below,1
AR,1,0,above,1
NH,0,0,average,1
NC,0,0,average,0
SD,1,0,below,0
WI,1,0,below,0
ME,1,0,average,1
WI,0,0,below,0
GA,1,1,above,1
WI,0,0,above,0
ME,0,0,below,1
KY,1,1,average,0
CO,0,1,below,1
WI,0,0,average,0
MI,0,0,average,1
AK,0,0,below,1
KY,0,0,average,0
NH,1,0,below,1
GA,1,0,below,1
CO,1,0,below,1
KS,1,1,average,1
NH,1,0,below,1
WI,0,1,above,0
IA,1,0,below,1
KS,1,0,below,1
AR,1,0,below,1
KS,1,0,average,1
WI,0,1,below,0
KY,1,0,below,0
GA,0,1,average,1
NC,1,0,below,0
NC,0,1,average,0
AR,1,0,below,1
LA,0,1,above,0
GA,1,0,below,1
GA,0,1,average,1
GA,0,0,average,1
KS,1,0,below,1
KS,1,0,below,1
MI,0,0,average,1
NC,0,0,average,0
AZ,1,0,below,0
WI,1,0,above,0
GA,1,0,below,1
GA,1,1,average,1
IA,1,0,below,1
KY,0,0,below,0
IA,1,0,below,1
IA,1,1,above,1
FL,1,1,average,0
ME,1,1,average,1
AR,1,0,average,1
MI,0,0,below,1
IA,0,1,average,1
CO,1,1,above,1
WI,0,0,below,0
CO,1,0,below,1
AR,1,0,above,1
GA,1,0,below,1
LA,0,1,average,0
GA,0,0,below,1
NH,0,1,below,1
AR,0,0,below,1
WI,1,0,above,0
IA,0,0,below,1
AR,1,0,average,1
IA,0,1,above,1
AZ,1,0,above,0
CO,1,0,below,1
IA,0,0,below,1
NC,0,1,above,0
CO,1,1,average,1
NH,0,0,below,1
SD,0,0,below,0
LA,0,0,average,0
WI,1,0,below,0
IA,0,0,below,1
AR,0,1,above,1
ME,1,1,above,1
IA,1,0,below,1
KS,1,0,average,1
WI,0,0,below,0
GA,1,0,above,1
IA,0,0,below,1
NC,1,0,below,0
CO,1,1,average,1
GA,0,1,below,1
GA,0,0,average,1
GA,1,0,below,1
AR,0,1,average,1
FL,1,0,average,0
NC,0,0,above,0
FL,0,1,average,0
MI,0,1,above,1
NC,0,1,average,0
IA,0,0,above,1
KS,1,1,average,1
GA,0,0,average,1
GA,1,0,average,1
WI,0,0,average,0
NH,0,1,below,1
KY,0,0,below,0
MI,1,0,below,1
MI,0,0,below,1
AZ,0,0,below,0
GA,0,1,above,1
KY,0,0,average,0
AZ,1,1,below,0
LA,1,0,below,0
AR,0,0,below,1
CO,0,0,below,1
ME,0,0,below,1
ME,1,0,average,1
CO,1,0,below,1
NH,1,1,below,1
AZ,1,0,above,0
MI,0,1,below,1
IA,0,1,above,1
NC,1,0,average,0
KY,0,1,above,0
KS,0,1,above,1
CO,0,0,below,1
KS,0,0,below,1
WI,1,0,below,0
KY,0,0,below,0
LA,0,1,average,0
IA,0,1,above,1
SD,0,0,below,0
KY,1,1,above,0
FL,1,0,average,0
FL,1,0,average,0
WI,1,1,average,0
IA,1,0,below,1
AZ,1,0,below,0
SD,1,0,below,0
WI,1,1,average,0
NC,0,0,below,0
AR,0,1,average,1
CO,0,0,average,1
IA,1,0,below,1
GA,0,0,below,1
ME,1,0,average,1
KS,1,0,average,1
MI,0,0,above,1
IA,0,0,below,1
AR,1,1,below,1
AZ,1,0,below,0
FL,0,0,below,0
GA,0,0,above,1
WI,1,0,below,0
ME,1,1,below,1
MI,1,0,above,1
KY,0,0,below,0
KS,1,1,above,1
IA,0,1,average,1
SD,1,0,above,0
ME,0,0,below,1
KY,0,0,below,0
AR,0,1,average,1
IA,0,0,below,1
SD,0,0,average,0
AZ,1,0,below,0
CO,1,1,above,1
CO,0,0,below,1
GA,0,0,below,1
WI,1,0,below,0
ME,0,0,below,1
WI,0,1,average,0
KS,1,1,average,1
MI,0,0,average,1
NC,0,0,average,0
AZ,1,0,above,0
AR,0,0,below,1
AR,1,0,below,1
KS,1,0,above,1
AR,1,0,average,1
MI,0,0,below,1
AZ,1,0,below,0
AZ,0,0,average,0
WI,1,0,below,0
NH,1,0,below,1
AR,0,0,average,1
WI,0,1,average,0
MI,1,0,below,1
CO,0,0,average,1
AZ,0,0,below,0
MI,0,0,below,1
CO,0,0,below,1
AZ,0,0,below,0
FL,0,1,above,0
KY,1,0,average,0
MI,0,0,below,1
CO,1,1,below,1
FL,1,0,above,0
LA,0,0,below,0
CO,0,0,below,1
CO,1,0,average,1
KS,0,0,below,1
CO,0,0,above,1
GA,0,0,below,1
GA,1,0,average,1
WI,1,1,below,0
ME,0,0,below,1
KS,1,1,above,1
CO,0,0,average,1
LA,1,1,above,0
FL,1,0,below,0
MI,0,0,below,1
NC,1,1,average,0
AZ,0,0,average,0
LA,1,0,below,0
NC,0,1,above,0
KY,0,0,below,0
IA,0,1,average,1
AZ,0,0,below,0
AZ,0,1,below,0
CO,0,0,below,1
SD,1,0,below,0
AR,0,0,average,1
ME,0,0,below,1
NH,0,0,below,1
KS,1,0,below,1
KY,0,0,below,0
CO,1,0,average,1
KY,0,0,below,0
WI,1,1,below,0
CO,0,1,above,1
AR,0,0,below,1
MI,1,1,above,1
AZ,1,0,below,0
IA,0,0,average,1
WI,0,0,above,0
AR,0,0,below,1
ME,1,1,average,1
AK,1,1,below,1
FL,1,1,above,0
ME,0,1,average,1
AK,0,1,below,1
MI,1,0,above,1
MI,1,0,above,1
KS,0,1,above,1
GA,0,0,above,1
AR,1,1,average,1
AZ,1,0,below,0
CO,0,1,above,1
AZ,1,0,average,0
FL,1,0,average,0
KY,1,1,above,0
WI,1,1,above,0
ME,1,0,below,1
LA,1,0,below,0
GA,0,0,below,1
FL,1,1,average,0
IA,1,1,below,1
AR,0,0,below,1
FL,1,0,average,0
MI,0,0,below,1
KY,1,1,above,0
MI,0,1,above,1
MI,0,0,below,1
CO,1,0,below,1
KS,1,1,above,1
AZ,1,0,average,0
SD,0,0,below,0
AZ,1,0,below,0
LA,0,1,above,0
KS,0,1,above,1
IA,1,0,average,1
ME,1,1,average,1
NH,1,0,below,1
WI,0,1,average,0
GA,0,0,below,1
WI,0,0,above,0
FL,0,1,above,0
WI,0,1,below,0
KS,0,0,below,1
AR,0,0,above,1
WI,0,1,average,0
NC,1,1,below,0
WI,0,1,above,0
CO,0,0,below,1
AR,0,0,below,1
MI,0,0,below,1
CO,0,0,below,1
KS,0,0,below,1
SD,0,1,above,0
NH,1,0,average,1
NC,1,1,average,0
NC,0,0,below,0
GA,1,0,below,1
AZ,1,0,below,0
AZ,0,0,below,0
FL,0,0,below,0
SD,1,0,below,0
MI,0,0,below,1
MI,1,0,below,1
MI,1,0,below,1
IA,0,0,below,1
GA,0,0,below,1
LA,1,0,average,0
WI,1,1,above,0
IA,1,0,average,1
ME,1,1,average,1
CO,0,1,above,1
NC,0,0,average,0
WI,1,1,above,0
KY,0,0,below,0
AZ,0,0,below,0
KY,0,0,below,0
WI,1,0,below,0
ME,0,1,average,1
AZ,1,0,above,0
MI,1,1,above,1
LA,0,1,above,0
SD,1,0,below,0
KY,0,0,below,0
MI,0,1,above,1
CO,1,0,below,1
AR,0,0,below,1
GA,0,1,below,1
IA,0,0,below,1
GA,0,1,average,1
KY,0,0,below,0
GA,0,0,below,1
GA,1,1,average,1
AR,0,0,below,1
ME,0,1,average,1
KS,0,0,average,1
KY,0,0,below,0
GA,0,1,above,1
WI,1,0,below,0
MI,0,0,above,1
SD,0,0,below,0
MI,1,0,below,1
FL,0,0,above,0
AR,0,0,below,1
KS,1,0,average,1
SD,1,0,below,0
NC,0,0,below,0
KS,1,0,above,1
FL,1,0,below,0
CO,1,0,average,1
CO,1,0,below,1
LA,1,0,below,0
AR,0,0,below,1
KS,0,1,above,1
AR,0,1,average,1
NC,0,0,below,0
KS,0,0,average,1
NC,1,0,average,0
NC,0,0,below,0
WI,1,0,below,0
AK,1,1,below,1
NH,0,1,above,1
AR,1,0,below,1
AR,1,0,below,1
FL,1,1,average,0
CO,0,0,below,1
GA,0,0,below,1
MI,0,0,average,1
CO,1,0,below,1
IA,1,0,below,1
KS,0,0,below,1
KS,1,0,below,1
MI,0,1,above,1
AK,1,1,below,1
ME,1,0,below,1
CO,0,1,below,1
KY,0,1,average,0
AZ,0,0,below,0
AZ,0,0,above,0
AR,0,0,below,1
KY,0,0,average,0
IA,0,0,below,1
KS,0,0,below,1
KY,0,0,below,0
KS,1,1,above,1
WI,1,0,below,0
IA,0,0,below,1
WI,1,1,below,0
NC,0,0,below,0
KS,0,0,above,1
FL,1,1,average,0
WI,0,0,average,0
KY,1,0,below,0
MI,1,1,above,1
AZ,0,0,above,0
CO,0,0,below,1
SD,1,0,average,0
AZ,1,0,below,0
LA,1,1,average,0
CO,1,0,below,1
GA,1,1,above,1
NH,0,1,below,1
NH,0,1,average,1
