voter_id,age,female,party,voted_2012,voted_2014,voted_2016,voted_2018,voted_2020,voted_2022,voted_2024,keystone_score
927244,28,1,R,0,0,0,0,0,0,0,0.5162
921924,67,0,R,0,0,0,0,0,0,0,0.416
922861,50,1,R,0,0,1,0,0,0,0,0.608
940839,27,1,D,0,0,0,0,0,0,0,0.5187
956743,57,0,R,0,0,0,0,0,0,1,0.4417
935042,30,0,R,0,0,0,0,0,0,0,0.511
908575,24,1,D,0,0,0,0,1,1,1,0.5264
904029,83,1,R,1,1,1,1,1,1,1,0.9408
928263,38,1,R,0,0,0,1,0,0,1,0.6829
925832,40,1,R,1,0,1,1,1,0,1,0.9406
936126,71,0,R,1,1,1,1,1,1,1,0.9717
950857,80,1,U,1,1,1,1,1,1,1,0.9485
921187,35,1,U,0,0,1,1,1,1,1,0.839
923287,28,0,D,0,0,1,1,1,0,1,0.8569
911911,84,0,R,0,0,0,0,0,0,0,0.3723
959066,57,0,U,1,1,1,1,1,1,1,1.0
924999,32,1,U,1,0,0,0,0,0,1,0.6204
918193,81,0,U,1,0,1,0,0,1,1,0.6429
929092,29,1,U,0,0,0,0,1,0,1,0.5136
938454,31,0,U,0,0,0,0,0,0,1,0.5084
939601,88,1,U,1,1,1,1,1,1,1,0.928
933263,28,1,D,0,0,0,0,0,0,0,0.5162
902184,20,1,U,0,0,0,0,0,0,1,0.5367
956087,38,1,U,0,0,1,0,1,0,1,0.6388
930505,68,1,D,1,1,1,1,1,1,1,0.9794
951707,59,1,U,1,0,1,0,1,0,1,0.6994
938792,70,1,D,1,1,1,0,0,1,1,0.7818
912132,32,0,R,1,0,0,0,0,0,1,0.6204
935708,48,1,U,0,0,0,1,0,0,1,0.6572
932400,53,1,D,0,0,0,0,0,0,0,0.4519
926913,32,1,U,1,1,1,1,1,1,1,1.0
911127,52,0,U,1,1,1,1,1,1,1,1.0
949003,31,1,U,0,1,1,0,1,0,1,0.7675
936949,48,1,D,1,0,0,0,0,0,0,0.5793
901294,24,1,R,0,0,0,0,1,1,1,0.5264
948229,60,0,D,1,0,1,0,1,0,1,0.6968
911535,46,1,D,1,0,1,1,1,1,1,0.9252
924805,22,1,D,0,0,0,0,0,0,1,0.5316
901030,39,0,U,1,0,0,0,0,0,1,0.6024
921382,23,1,U,0,0,0,0,0,0,1,0.529
941139,53,1,D,1,1,1,1,1,1,1,1.0
923774,53,1,U,1,1,0,0,0,0,1,0.6771
901977,62,1,R,1,0,1,1,1,1,1,0.8841
936156,51,0,R,1,0,1,0,0,0,1,0.7199
952745,62,1,D,1,1,1,0,1,1,1,0.8024
918701,33,1,R,1,0,0,0,0,0,0,0.6178
942563,40,0,D,1,1,1,1,1,1,1,1.0
901752,55,1,D,1,0,1,0,1,0,1,0.7096
956018,36,1,U,0,0,0,0,0,0,1,0.4956
915384,47,0,R,1,0,0,0,1,0,1,0.5818
937645,62,1,D,1,1,1,1,1,1,1,0.9948
939358,64,0,U,1,1,1,1,1,1,1,0.9896
929149,60,0,U,0,0,1,1,1,0,1,0.7747
918084,82,1,R,1,1,1,1,1,1,1,0.9434
907352,43,0,R,1,0,0,0,0,0,1,0.5921
936961,26,0,R,0,0,0,0,0,0,1,0.5213
932300,74,1,D,1,0,1,0,0,0,0,0.6608
914985,60,0,R,0,1,1,1,1,1,1,0.8854
945275,31,1,U,0,0,0,0,1,0,0,0.5084
944675,36,1,U,1,1,1,1,1,1,1,1.0
910527,89,1,D,0,0,0,0,1,0,1,0.3595
917471,48,0,R,1,1,1,1,1,1,1,1.0
923492,23,1,R,0,0,0,0,0,0,1,0.529
934497,77,0,R,1,1,1,1,1,1,1,0.9563
935981,29,1,U,0,0,1,1,1,1,1,0.8544
929215,26,1,D,0,0,0,1,1,1,1,0.7137
944084,24,1,R,0,0,0,0,1,0,1,0.5264
903199,57,1,D,1,1,1,1,1,1,1,1.0
906485,32,1,U,1,0,1,1,0,1,1,0.9611
910762,43,1,U,1,0,1,1,1,1,1,0.9329
933588,62,0,R,1,1,1,1,1,1,1,0.9948
955137,86,0,D,0,0,1,1,1,1,1,0.708
910353,40,0,R,0,1,1,1,1,1,1,0.9368
906043,51,0,R,1,1,1,1,1,1,1,1.0
938129,73,1,R,1,1,1,1,1,1,1,0.9665
930911,26,0,R,0,0,0,0,1,1,1,0.5213
909023,60,1,D,0,0,1,0,1,0,1,0.5823
918864,48,0,R,1,1,1,1,1,1,1,1.0
915881,30,1,D,0,0,0,0,1,0,0,0.511
931370,88,1,D,1,1,1,1,1,1,1,0.928
955885,66,1,D,1,0,1,1,1,1,1,0.8738
945656,67,0,D,1,1,1,1,1,1,1,0.9819
904052,77,1,U,0,0,0,0,1,0,0,0.3903
938953,45,0,U,0,0,1,1,1,1,1,0.8133
916937,72,1,R,1,1,1,1,1,1,1,0.9691
943789,20,0,R,0,0,0,0,0,0,1,0.5367
937921,89,0,D,0,1,1,1,1,1,1,0.811
955334,35,1,D,0,0,0,0,0,0,0,0.4982
957674,48,0,D,1,0,1,0,1,0,1,0.7276
918721,35,1,D,1,0,1,0,1,1,0,0.761
943417,25,1,U,0,0,0,0,1,1,1,0.5239
952180,71,1,U,1,1,1,1,1,1,1,0.9717
904113,65,1,D,0,1,1,0,1,1,1,0.6802
904055,28,1,R,0,0,1,1,1,1,1,0.8569
917629,35,1,U,1,0,0,0,0,0,1,0.6126
958201,87,0,D,1,1,1,1,1,1,1,0.9306
903038,31,0,U,0,0,1,0,0,0,0,0.6568
911880,62,1,U,1,1,1,1,1,1,1,0.9948
922281,58,1,U,0,0,0,0,0,0,0,0.4391
944384,48,1,D,1,1,1,1,1,1,1,1.0
942961,44,1,U,1,1,1,0,1,1,1,0.8486
958816,65,0,D,1,1,1,1,1,1,1,0.9871
944375,56,1,U,0,0,0,0,1,0,1,0.4442
948039,58,0,R,1,1,1,1,1,1,1,1.0
935674,89,1,U,0,1,0,1,1,1,1,0.6626
924192,41,0,U,0,0,1,1,1,1,1,0.8235
944732,63,1,R,0,1,1,1,1,1,1,0.8777
933688,68,1,R,0,0,0,0,0,0,0,0.4134
901557,56,0,U,1,1,1,1,1,1,1,1.0
919928,62,0,U,1,0,1,1,0,1,1,0.8841
941998,58,0,D,1,1,1,1,1,1,1,1.0
929730,42,1,U,0,0,0,0,0,0,0,0.4802
908011,34,0,U,1,0,1,0,1,0,1,0.7636
900303,40,1,R,1,0,0,0,1,0,0,0.5998
957019,43,0,R,1,0,0,0,1,0,1,0.5921
956424,36,0,R,1,1,1,1,1,1,1,1.0
928101,44,1,R,0,0,1,0,0,0,1,0.6234
941034,84,1,R,0,0,1,0,1,0,1,0.5207
910175,44,0,D,1,0,1,0,0,0,1,0.7379
905880,39,1,U,0,0,0,0,1,0,0,0.4879
943478,23,1,U,0,0,0,0,0,1,1,0.529
950872,26,0,D,0,0,0,0,1,0,0,0.5213
934572,61,1,U,1,1,1,1,1,1,1,0.9973
913114,28,1,D,0,0,1,1,1,1,0,0.8569
952418,38,0,R,1,1,1,1,1,1,1,1.0
921057,30,1,D,0,0,1,0,0,0,1,0.6594
953375,37,0,D,1,0,1,1,1,0,0,0.9483
933431,71,1,D,1,1,0,1,1,1,1,0.8233
907820,34,0,D,1,0,1,0,1,0,0,0.7636
925715,70,1,U,1,0,0,1,1,0,0,0.7152
937024,29,1,U,0,0,0,0,0,0,0,0.5136
945743,54,0,D,1,1,1,1,1,1,1,1.0
935266,53,0,U,1,0,0,0,1,1,0,0.5664
905830,65,1,R,0,0,0,0,1,0,1,0.4211
909232,78,1,R,1,1,1,1,1,1,1,0.9537
919089,39,0,D,1,1,1,0,1,0,1,0.8614
942276,33,0,D,1,1,1,1,1,1,1,1.0
940803,68,0,R,1,1,1,1,1,1,1,0.9794
901718,43,1,D,1,0,0,0,0,0,0,0.5921
941310,36,1,U,1,1,1,0,1,1,1,0.8691
905822,32,1,U,0,0,0,0,0,0,0,0.5059
914051,43,0,D,1,0,1,1,1,1,1,0.9329
957472,44,1,R,1,0,1,0,1,1,1,0.7379
934633,73,0,R,1,1,1,1,1,1,1,0.9665
944645,74,1,U,1,0,0,1,1,1,1,0.7049
906977,64,1,R,1,1,1,1,1,1,1,0.9896
948702,59,0,R,1,1,0,1,1,0,1,0.8541
940025,41,1,D,1,1,1,1,1,0,1,1.0
905447,51,0,R,1,1,1,1,1,1,1,1.0
921154,80,0,D,1,1,1,1,1,1,1,0.9485
943518,63,1,R,1,0,1,1,0,1,1,0.8815
941601,31,0,U,0,1,1,1,1,1,1,0.9599
927639,52,0,D,1,1,1,1,1,1,1,1.0
943725,30,1,D,0,0,0,0,1,1,1,0.511
929937,45,0,U,0,0,1,0,1,0,1,0.6209
922706,52,0,R,1,1,1,1,1,1,1,1.0
948024,28,1,D,0,0,1,0,1,1,1,0.6645
915909,35,1,D,0,0,0,0,1,0,0,0.4982
931108,51,1,D,1,1,1,1,1,1,0,1.0
936892,48,1,D,1,0,0,0,1,0,1,0.5793
938540,38,0,D,1,0,1,1,1,0,1,0.9457
914643,22,0,U,0,0,0,0,0,0,0,0.5316
941745,31,0,D,0,0,1,0,0,0,0,0.6568
938842,85,0,D,1,0,1,1,1,0,1,0.825
939567,72,1,U,1,0,1,0,0,0,1,0.666
945237,21,0,U,0,0,0,0,0,0,1,0.5341
903822,53,1,R,1,1,1,1,1,1,1,1.0
913595,52,0,U,1,0,1,0,0,1,0,0.7173
943693,42,1,R,1,0,1,1,1,0,1,0.9354
940827,56,1,D,1,0,1,0,1,0,1,0.7071
956151,26,0,D,0,0,0,0,0,0,0,0.5213
943204,27,1,D,0,0,0,0,1,1,1,0.5187
954589,58,1,U,1,1,1,1,1,1,1,1.0
914872,40,1,R,1,1,1,1,1,1,1,1.0
928572,61,0,D,1,1,1,1,1,1,1,0.9973
951361,62,1,D,1,1,1,1,1,1,1,0.9948
921462,47,1,R,0,0,0,0,0,0,1,0.4674
957097,35,0,U,0,0,1,0,1,0,0,0.6465
913245,25,0,U,0,0,0,0,0,0,0,0.5239
945119,79,0,D,1,1,1,1,1,1,1,0.9511
918797,34,0,R,1,1,1,1,1,1,1,1.0
937742,24,1,U,0,0,0,0,1,1,1,0.5264
934750,64,0,R,1,1,1,1,1,1,1,0.9896
931480,47,1,D,1,0,1,0,0,0,0,0.7302
954937,64,1,R,1,1,1,1,1,0,1,0.9896
917849,57,0,U,0,0,0,0,0,0,1,0.4417
957801,39,1,R,1,0,0,0,1,1,1,0.6024
932523,26,1,U,0,0,0,1,1,1,1,0.7137
937059,26,1,U,0,0,0,0,0,0,0,0.5213
937022,26,0,R,0,0,0,1,1,1,1,0.7137
903804,70,0,D,1,0,0,0,1,0,1,0.5228
921099,69,0,D,0,0,1,1,1,0,1,0.7516
943864,71,0,D,1,1,1,1,1,1,1,0.9717
900851,45,1,D,1,0,1,0,1,0,1,0.7353
946108,38,0,U,1,0,1,0,1,1,0,0.7533
944206,88,1,U,1,1,1,1,1,1,1,0.928
935460,64,0,R,1,1,1,1,1,1,1,0.9896
911151,32,0,R,1,1,1,1,1,1,1,1.0
932078,38,1,U,0,0,0,0,0,0,0,0.4905
905157,32,0,D,0,0,1,0,1,0,0,0.6542
946831,41,1,D,1,0,0,0,1,0,1,0.5972
932142,46,0,D,1,0,1,1,1,1,0,0.9252
937439,33,1,U,0,1,0,0,1,0,1,0.614
952986,21,0,D,0,0,0,0,0,0,0,0.5341
925197,44,1,U,1,1,1,1,1,1,1,1.0
934886,44,0,U,0,0,1,0,0,1,1,0.6234
904085,61,1,D,1,0,1,0,1,0,1,0.6942
924750,34,0,U,0,0,0,0,1,0,0,0.5007
949419,20,1,D,0,0,0,0,0,0,1,0.5367
909764,48,0,D,0,0,1,1,1,1,1,0.8056
955744,83,0,D,0,0,1,0,0,0,1,0.5233
900897,89,0,D,1,1,1,1,1,1,1,0.9254
903228,83,1,R,1,1,1,1,1,1,1,0.9408
923539,50,0,D,1,0,0,0,1,0,1,0.5741
914540,85,0,R,0,0,0,0,0,1,1,0.3698
958791,74,1,U,1,1,1,1,1,1,1,0.964
924451,58,0,U,1,1,1,1,1,1,1,1.0
952747,44,0,D,1,0,1,1,1,1,1,0.9303
958806,65,0,R,1,0,0,0,0,1,1,0.5356
944774,64,1,D,1,1,1,1,1,1,1,0.9896
957458,69,1,D,0,0,0,0,0,0,0,0.4108
901968,37,0,U,0,0,0,0,0,0,0,0.493
948809,84,1,R,1,0,0,0,1,0,0,0.4868
904152,28,0,U,0,0,0,1,1,0,1,0.7086
916521,53,0,R,1,1,1,1,1,0,1,1.0
929664,75,0,D,0,1,0,1,1,0,1,0.6986
955533,50,0,R,1,1,1,1,1,1,1,1.0
922414,69,1,U,1,1,1,1,1,1,1,0.9768
912163,48,1,U,1,0,1,0,1,0,1,0.7276
926905,45,1,R,0,0,1,0,0,0,0,0.6209
952696,72,1,U,1,0,0,0,0,0,1,0.5176
953126,67,0,D,1,1,1,1,1,1,1,0.9819
915510,56,1,D,1,1,1,1,1,1,1,1.0
959911,28,1,D,0,0,0,1,1,0,1,0.7086
904403,44,1,R,0,0,0,0,1,0,1,0.4751
919622,36,1,R,1,1,1,1,1,0,1,1.0
909893,23,1,R,0,0,0,0,0,1,1,0.529
928571,23,1,D,0,0,0,0,0,0,1,0.529
944033,34,1,D,0,0,1,0,0,0,0,0.6491
939184,47,0,D,1,1,1,1,1,1,1,1.0
928220,26,0,D,0,0,0,1,1,0,1,0.7137
946780,45,0,D,1,0,1,0,0,1,1,0.7353
931147,34,1,U,0,0,0,0,1,0,0,0.5007
922923,50,1,D,0,0,0,0,1,0,0,0.4596
915329,49,1,D,1,0,0,0,1,0,1,0.5767
943796,49,1,U,0,0,1,0,1,0,1,0.6106
956853,35,1,D,1,0,0,1,1,0,1,0.8051
949372,61,1,D,1,0,0,0,1,0,1,0.5459
927497,48,0,D,1,1,1,1,1,1,1,1.0
951971,67,0,R,1,1,1,1,1,1,1,0.9819
925050,23,0,D,0,0,0,0,0,1,1,0.529
932457,56,0,D,1,1,1,1,1,1,1,1.0
928172,89,0,R,1,1,1,1,1,1,1,0.9254
932599,80,0,D,1,0,0,1,0,0,1,0.6895
939242,32,0,U,0,1,1,0,1,0,1,0.7649
942578,47,0,R,1,1,1,1,1,1,1,1.0
908656,87,0,R,1,1,1,1,1,1,1,0.9306
953569,23,0,R,0,0,0,0,0,0,0,0.529
911019,56,1,U,1,1,1,1,1,1,1,1.0
949972,68,1,U,1,1,1,1,1,1,1,0.9794
935158,72,0,R,1,1,1,1,1,1,1,0.9691
945143,52,1,R,0,0,1,0,0,1,1,0.6029
945081,73,1,U,1,1,1,1,1,1,1,0.9665
909581,57,1,D,0,0,0,0,0,0,1,0.4417
905779,24,0,U,0,0,0,0,1,1,1,0.5264
911809,83,1,D,1,1,1,1,1,1,1,0.9408
954227,25,0,U,0,0,0,0,0,0,0,0.5239
942886,21,0,D,0,0,0,0,0,0,1,0.5341
920923,28,1,D,0,0,1,0,1,0,1,0.6645
957321,71,1,U,0,1,0,0,1,0,1,0.5164
926641,72,1,U,1,1,1,1,1,1,1,0.9691
931259,21,0,D,0,0,0,0,0,0,1,0.5341
913397,71,0,D,1,0,1,1,1,1,1,0.861
916230,54,1,U,1,0,1,0,1,0,1,0.7122
949711,43,0,U,1,1,1,1,1,1,1,1.0
922949,35,1,D,1,0,0,0,0,0,0,0.6126
901208,63,0,U,1,1,1,0,1,1,1,0.7998
953154,52,0,U,1,1,1,1,1,1,1,1.0
912806,62,0,D,1,1,1,1,1,1,1,0.9948
932378,58,0,D,1,1,1,1,1,1,1,1.0
920547,36,1,D,1,0,0,1,1,0,1,0.8025
948274,27,0,D,0,0,0,0,0,0,0,0.5187
929277,33,1,D,1,0,1,1,1,1,1,0.9586
914182,46,1,R,1,1,1,1,1,1,1,1.0
909575,36,1,D,0,0,1,0,1,0,1,0.644
957730,64,1,R,1,1,1,1,1,1,1,0.9896
943237,67,0,U,1,1,1,0,1,1,1,0.7895
924593,22,1,U,0,0,0,0,0,1,1,0.5316
926992,71,0,D,1,1,1,1,1,1,1,0.9717
919986,66,1,R,1,1,1,1,1,0,1,0.9845
903331,67,0,R,1,1,1,1,1,1,1,0.9819
911763,72,1,D,1,1,1,1,1,1,1,0.9691
900145,71,0,U,1,1,1,1,1,1,1,0.9717
919561,64,1,R,1,1,1,1,1,1,1,0.9896
903152,54,1,R,1,0,0,0,1,0,1,0.5638
915036,59,0,U,1,1,1,0,1,1,1,0.8101
904513,73,1,R,1,1,1,1,1,1,1,0.9665
946845,62,1,U,1,1,1,1,1,1,1,0.9948
935303,61,0,R,1,0,1,0,0,0,1,0.6942
939540,71,0,D,1,1,0,0,1,0,1,0.6309
924926,68,1,U,1,1,1,1,1,0,1,0.9794
900217,59,0,D,1,1,1,1,1,1,1,1.0
906886,33,1,U,0,0,0,0,0,0,0,0.5033
948342,26,1,R,0,0,0,0,0,0,1,0.5213
942884,39,1,U,1,0,1,0,1,0,1,0.7507
942119,65,1,D,1,1,1,1,1,1,1,0.9871
951866,69,1,U,1,0,0,0,1,0,1,0.5253
958127,81,0,D,1,1,1,1,1,1,1,0.946
917116,50,0,D,1,0,1,0,0,1,1,0.7225
956247,76,0,D,1,0,1,1,1,1,1,0.8481
940094,37,1,R,1,0,1,1,1,0,1,0.9483
901829,43,0,R,1,0,1,0,1,0,1,0.7405
907656,57,0,R,1,1,1,0,1,0,1,0.8152
951090,41,1,U,1,1,1,1,1,1,1,1.0
903673,49,0,D,0,0,0,0,0,0,1,0.4622
944243,40,0,R,1,0,1,0,1,0,0,0.7482
916836,51,0,D,0,0,0,0,0,0,1,0.4571
905051,66,0,U,1,0,0,0,1,1,0,0.533
927005,53,1,D,0,0,0,0,0,0,0,0.4519
921892,68,1,D,0,1,1,1,1,1,0,0.8649
922147,32,0,U,0,1,1,0,1,0,1,0.7649
942858,46,0,R,1,1,1,1,1,1,1,1.0
945727,71,1,R,1,0,1,0,1,1,1,0.6685
907604,40,1,D,1,0,0,1,1,0,0,0.7922
949370,34,0,D,1,1,1,0,1,1,1,0.8743
921515,57,0,D,1,0,0,0,0,0,1,0.5561
945124,20,1,U,0,0,0,0,0,0,0,0.5367
910410,68,1,D,1,1,1,1,1,1,1,0.9794
959309,39,0,U,1,0,1,1,1,1,1,0.9432
932368,28,1,R,0,0,0,0,1,0,1,0.5162
943674,47,1,R,1,0,1,1,1,0,1,0.9226
914355,41,1,D,1,1,1,1,1,1,1,1.0
910506,67,1,U,1,1,1,0,1,0,1,0.7895
948899,32,1,R,1,0,1,1,1,1,1,0.9611
916309,29,1,R,0,0,1,0,1,0,1,0.662
923513,45,1,U,0,0,0,0,0,0,0,0.4725
935222,34,0,R,1,1,1,1,1,1,1,1.0
924639,70,0,D,1,0,1,0,0,0,1,0.6711
915269,43,0,R,1,0,0,0,1,0,1,0.5921
954978,73,0,D,1,1,1,1,1,1,1,0.9665
942701,20,0,U,0,0,0,0,0,0,0,0.5367
958970,22,1,D,0,0,0,0,0,1,1,0.5316
910190,56,0,U,1,1,1,1,1,1,1,1.0
933463,33,0,R,0,0,1,1,1,0,1,0.8441
901454,82,0,U,1,1,1,1,1,1,1,0.9434
919503,67,0,D,1,1,1,1,1,1,1,0.9819
916966,40,1,U,1,0,1,1,1,1,1,0.9406
949747,56,1,R,1,1,1,1,1,1,1,1.0
904676,74,1,U,1,1,1,0,1,0,1,0.7715
959824,69,1,R,1,0,1,1,1,1,1,0.8661
914999,59,0,D,1,1,1,1,1,1,1,1.0
922611,39,0,R,1,1,1,1,1,1,1,1.0
922459,75,0,U,0,0,1,0,1,0,1,0.5438
933504,47,0,U,0,0,1,1,1,1,1,0.8081
904968,24,1,U,0,0,0,0,1,1,1,0.5264
906131,21,0,U,0,0,0,0,0,0,1,0.5341
924473,22,0,U,0,0,0,0,0,1,1,0.5316
905132,28,1,R,0,0,1,0,0,0,0,0.6645
956244,33,1,U,1,1,1,0,1,0,1,0.8769
905621,48,0,U,1,1,1,1,1,1,1,1.0
920282,56,0,R,1,1,1,1,1,1,1,1.0
916490,66,0,U,1,1,1,0,1,1,1,0.7921
958141,27,0,U,0,0,0,0,1,0,1,0.5187
953488,72,1,D,0,0,1,0,1,0,0,0.5515
935691,58,1,R,1,1,1,0,1,1,1,0.8126
945052,86,0,D,1,0,1,0,1,0,1,0.63
926756,31,0,U,0,1,0,0,1,1,1,0.6192
928424,27,1,R,0,0,0,1,1,1,0,0.7111
942145,62,1,U,1,1,0,0,1,1,1,0.654
948738,51,1,D,0,0,0,0,0,0,1,0.4571
926028,36,0,R,1,1,1,1,1,1,1,1.0
934620,63,1,R,0,0,0,0,0,0,0,0.4263
944802,33,1,D,0,0,1,1,1,1,1,0.8441
936404,45,1,D,1,1,1,1,1,1,1,1.0
947644,50,0,U,0,0,0,0,1,0,0,0.4596
933900,37,1,D,1,0,1,0,1,0,1,0.7559
919792,46,1,R,1,0,1,0,1,1,1,0.7328
956759,49,1,U,1,1,1,1,1,1,1,1.0
916822,82,1,D,0,0,0,1,0,1,1,0.5699
914301,39,1,U,1,1,1,1,1,1,1,1.0
922489,79,1,R,0,1,1,1,1,1,1,0.8366
956201,30,1,D,0,0,1,1,1,1,1,0.8518
926184,64,0,R,1,1,1,1,1,1,1,0.9896
903358,20,1,R,0,0,0,0,0,0,1,0.5367
939661,37,0,U,0,0,0,0,0,0,0,0.493
929601,20,1,D,0,0,0,0,0,0,0,0.5367
949277,62,0,D,1,1,1,1,1,1,1,0.9948
930422,58,1,R,1,1,1,1,1,1,1,1.0
917428,47,0,D,1,1,1,1,1,1,1,1.0
905142,63,1,D,1,0,1,0,1,1,1,0.6891
908778,35,0,D,0,0,0,0,0,0,0,0.4982
946021,23,0,U,0,0,0,0,0,0,0,0.529
938629,24,1,D,0,0,0,0,0,0,1,0.5264
940138,61,1,R,1,1,1,1,1,1,1,0.9973
908409,42,0,D,0,0,1,0,1,1,0,0.6286
955531,87,1,U,1,1,1,1,1,1,1,0.9306
928694,43,1,R,1,1,1,0,1,0,1,0.8512
948795,49,0,U,1,1,1,1,1,1,1,1.0
921832,37,0,U,1,0,1,0,0,1,1,0.7559
901127,63,0,R,1,1,1,1,1,1,1,0.9922
917866,69,0,D,1,1,1,1,1,1,1,0.9768
958271,33,0,U,1,1,1,1,1,1,1,1.0
932864,55,1,R,1,0,0,1,1,0,1,0.7537
931106,58,0,U,0,0,0,0,1,0,1,0.4391
932223,47,0,R,0,0,0,0,0,0,0,0.4674
945838,56,0,R,1,1,1,1,1,1,1,1.0
947148,36,1,D,1,1,1,1,1,1,1,1.0
921097,47,1,R,0,0,1,1,1,0,1,0.8081
926216,37,0,D,1,1,1,1,1,1,1,1.0
949637,73,0,R,1,1,1,1,1,1,1,0.9665
942358,71,1,U,0,0,0,0,1,0,1,0.4057
905876,60,0,U,1,1,1,1,1,1,1,0.9999
928833,66,1,R,1,1,1,1,1,0,1,0.9845
926191,29,1,R,0,0,1,1,1,0,1,0.8544
928118,42,0,D,0,0,0,0,0,0,0,0.4802
916496,65,0,D,1,0,1,1,1,1,1,0.8764
920224,24,1,R,0,0,0,0,1,1,0,0.5264
949099,50,0,U,1,1,1,1,1,1,1,1.0
940876,51,1,U,1,0,1,1,1,1,1,0.9123
929997,44,1,U,0,0,0,0,0,0,0,0.4751
916540,58,1,U,0,0,0,0,1,1,1,0.4391
932661,52,1,U,1,0,1,0,0,0,0,0.7173
923563,60,0,D,0,0,1,0,0,0,1,0.5823
905795,43,1,U,0,0,0,1,1,1,1,0.67
923813,39,0,D,0,0,1,0,1,0,1,0.6363
900942,29,1,D,0,0,1,0,1,0,1,0.662
924764,34,1,U,1,1,1,1,1,0,1,1.0
942807,57,0,R,1,0,1,1,0,1,1,0.8969
951494,25,0,R,0,0,0,0,1,0,1,0.5239
942755,44,1,U,0,0,0,0,0,0,0,0.4751
911640,56,0,R,1,0,1,0,1,0,1,0.7071
905576,82,1,U,0,1,1,1,1,0,1,0.8289
910891,35,1,R,0,0,0,0,1,0,1,0.4982
927627,22,0,U,0,0,0,0,0,1,1,0.5316
958260,80,0,D,0,0,1,0,1,0,0,0.531
940632,36,1,U,1,0,1,0,1,0,1,0.7584
915512,63,1,R,1,1,1,1,1,1,1,0.9922
948791,40,0,U,1,0,1,0,1,1,1,0.7482
917972,62,0,R,0,1,1,0,1,1,1,0.6879
957305,46,1,U,1,1,1,0,1,1,1,0.8435
948945,49,0,D,1,1,1,1,1,1,1,1.0
935156,46,0,R,0,0,1,0,1,0,1,0.6183
901177,39,1,R,0,0,1,0,1,0,1,0.6363
935622,39,0,R,1,1,1,1,1,1,1,1.0
940451,23,1,R,0,0,0,0,0,1,1,0.529
917682,66,1,D,1,1,1,1,1,1,1,0.9845
930042,56,1,U,1,0,1,0,1,0,1,0.7071
951075,75,1,U,0,0,0,0,1,0,1,0.3954
911276,31,0,D,0,1,0,1,1,1,1,0.8116
942002,54,1,R,1,1,1,1,1,1,1,1.0
913832,46,1,D,0,0,0,0,1,0,1,0.4699
922250,27,0,R,0,0,0,0,0,0,1,0.5187
938675,59,0,D,1,1,1,1,1,1,1,1.0
959690,58,0,D,1,1,1,1,1,1,1,1.0
943068,59,1,U,0,0,1,0,1,0,1,0.5849
907191,45,1,D,1,0,1,0,0,0,0,0.7353
901273,45,1,D,0,0,1,0,1,1,1,0.6209
938165,64,1,R,0,0,1,0,1,0,1,0.5721
922380,58,0,R,1,0,0,0,0,0,0,0.5536
925218,28,1,R,0,0,1,1,1,1,1,0.8569
947754,60,1,D,0,0,0,0,1,0,0,0.434
952172,54,1,R,1,0,1,0,1,0,1,0.7122
941266,20,0,U,0,0,0,0,0,0,0,0.5367
914854,45,1,U,0,0,0,0,0,0,1,0.4725
